Name
cm3
l
dl
cl
ml
fl
tasse
ta
kubikzentimeter
liter
deziliter
centiliter
milliliter
g
dg
cg
mg
dag
kg
gramm
dezigramm
centigramm
milligramm
dekagramm
kilogramm
pfund
cg
lb
bd
tr
spr
tl
bl
el
msp
pr
eischwer
bund
tropfen
spritzer
schuss
teelöffel
barlöffel
esslöffel
messerspitze
prise
do
kt
stk
pk
pck
sch
kl
mt
gr
dose
karton
stück
packung
päckchen
scheibe
blatt
klein
mittelgross
groß
